player,id,draft year,projected spm,superstar,starter,role player,bust,position_pf,position_pg,position_sf,position_sg
karl-anthony towns,karl-anthony-towns,2015,0.784434958,0.74056213,0.649197582,0.18589526,0.170822273,0,0,0,0
justise winslow,justise-winslow,2015,0.739575975,0.459001457,0.77771212,0.215149624,0.101390243,0,0,1,0
stanley johnson,stanley-johnson,2015,0.68299962,0.372570707,0.643901744,0.432650998,0.103144844,0,0,1,0
jahlil okafor,jahlil-okafor,2015,0.637402411,0.322656492,0.622667224,0.340790161,0.202229613,0,0,0,0
d`angelo russell,d-angelo-russell,2015,0.634601666,0.835444932,0.518873908,0.043721197,0.372551144,0,1,0,0
dakari johnson,dakari-johnson,2015,0.628771923,0.117270631,0.557649019,0.729980787,0.048366714,0,0,0,0
devin booker,3-devin-booker,2015,0.623222196,0.403160339,0.49152487,0.671389401,0.076124003,0,0,0,1
willie cauley-stein,willie-cauley-stein,2015,0.588148383,0.258900676,0.616665063,0.357150625,0.214050549,0,0,0,0
rondae hollis-jefferson,rondae-hollis-jefferson,2015,0.576805653,0.080172952,0.559168039,0.676336631,0.094767489,0,0,1,0
trey lyles,trey-lyles,2015,0.563978685,0.123012703,0.53275858,0.698938489,0.093018294,1,0,0,0
sam dekker,sam-dekker,2015,0.560123508,0.047763724,0.584451143,0.540732365,0.174256974,0,0,1,0
kelly oubre jr.,kelly-oubre-jr,2015,0.558143206,0.108987004,0.575209348,0.559788106,0.153150945,0,0,1,0
tyus jones,tyus-jones,2015,0.557056535,0.149467894,0.629823367,0.445275118,0.169117804,0,1,0,0
kevon looney,kevon-looney,2015,0.545681045,0.045609688,0.539264166,0.638785575,0.150143059,1,0,0,0
myles turner,2-myles-turner,2015,0.508762338,0.161648797,0.508918171,0.518204865,0.232938695,1,0,0,0
cliff alexander,cliff-alexander,2015,0.494245906,0.041946258,0.445960192,0.706558775,0.194885359,1,0,0,0
christian wood,christian-wood,2015,0.481044935,0.046141882,0.471023318,0.678917638,0.188625584,1,0,0,0
frank kaminsky,frank-kaminsky,2015,0.465793588,0.036918356,0.535070264,0.536693527,0.22844728,0,0,0,0
michael frazier ii,michael-frazier-ii,2015,0.438435479,0.055412161,0.383827422,0.653905985,0.289113127,0,0,0,1
brandon ashley,brandon-ashley,2015,0.437522799,0.061473134,0.382227985,0.598639328,0.327898649,1,0,0,0
bobby portis,bobby-portis,2015,0.395816434,0.017262305,0.381863223,0.66362156,0.294644217,1,0,0,0
andrew harrison,andrew-harrison,2015,0.389325969,0.061698478,0.315773497,0.67956587,0.336018133,0,1,0,0
rashad vaughn,rashad-vaughn,2015,0.38779901,0.113566294,0.365448098,0.623570455,0.312543824,0,0,0,1
aaron harrison,3-aaron-harrison,2015,0.365115375,0.053131512,0.286991975,0.673983862,0.370488172,0,0,0,1
montrezl harrell,montrezl-harrell,2015,0.360683968,0.021453495,0.30095822,0.717178968,0.335089003,1,0,0,0
quinn cook,quinn-cook,2015,0.355675869,0.000705873,0.333306539,0.618084815,0.378781715,0,1,0,0
cameron payne,2-cameron-payne,2015,0.312102627,0.052370715,0.285244019,0.514721932,0.484441597,0,1,0,0
chris mccullough,chris-mccullough,2015,0.304403064,0.036084775,0.288389813,0.464078949,0.52144149,1,0,0,0
justin anderson,justin-anderson,2015,0.303031251,0.005088865,0.234746383,0.718424994,0.403562367,0,0,1,0
terry rozier,terry-rozier,2015,0.302485472,0.041032789,0.282424964,0.477912,0.51620051,0,1,0,0
vince hunter,vince-hunter,2015,0.30037748,0.021975797,0.216165492,0.662474814,0.456503397,0,0,1,0
delon wright,delon-wright,2015,0.294288812,0.014565998,0.253748359,0.606759522,0.460902367,0,1,0,0
jarell martin,jarell-martin,2015,0.278187539,0.008086851,0.237108113,0.602132483,0.482233802,1,0,0,0
jordan mickey,jordan-mickey,2015,0.271190324,0.007933816,0.215525532,0.63753669,0.47851619,1,0,0,0
wayne blackshear,wayne-blackshear,2015,0.269782399,0.005643325,0.170695221,0.764854244,0.433504202,0,0,0,1
chris walker,5-chris-walker,2015,0.269696567,0.006411002,0.235329095,0.592855155,0.49096158,1,0,0,0
t.j. mcconnell,tj-mcconnell,2015,0.266994372,0.014676165,0.150818472,0.768456387,0.44797238,0,1,0,0
j.p. tokoto,jp-tokoto,2015,0.259659395,0.003701688,0.15924051,0.759160696,0.449263484,0,0,1,0
pat connaughton,pat-connaughton,2015,0.245818875,0.003653193,0.12994468,0.762109384,0.475905122,0,0,1,0
r.j. hunter,rj-hunter,2015,0.244953627,0.022599892,0.17956595,0.661637659,0.492779925,0,0,0,1
jerian grant,jerian-grant,2015,0.235419971,0.006429202,0.193554644,0.576925498,0.543090862,0,1,0,0
olivier hanlan,olivier-hanlan,2015,0.215248017,0.001249425,0.083579497,0.868350163,0.447254367,0,0,0,1
branden dawson,branden-dawson,2015,0.212728653,0.00169784,0.136472787,0.673536324,0.532350986,0,0,1,0
robert upshaw,robert-upshaw,2015,0.211372054,0.001189116,0.128592086,0.653513146,0.554296626,0,0,0,0
tyler harvey,tyler-harvey,2015,0.208405225,0,0.063580744,0.875380848,0.462244386,0,0,0,1
darrun hilliard,darrun-hilliard,2015,0.19849315,0.007346644,0.083385026,0.758485797,0.523060155,0,0,0,1
tyler haws,tyler-haws,2015,0.193645931,0.005690572,0.052951717,0.856167088,0.484616657,0,0,0,1
treveon graham,treveon-graham,2015,0.190028508,0.007534742,0.109398782,0.648542536,0.574861145,0,0,0,1
rakeem christmas,rakeem-christmas,2015,0.186992152,0.000569703,0.108281073,0.691042308,0.547966034,1,0,0,0
kenneth smith,3-kenneth-smith,2015,0.186373681,0.004103641,0.106316004,0.602827558,0.6109787,0,1,0,0
michael qualls,3-michael-qualls,2015,0.185758799,0.032241126,0.079867461,0.671609232,0.580806458,0,0,0,1
aaron white,5-aaron-white,2015,0.184962858,0.004715998,0.132187469,0.604304067,0.584424865,1,0,0,0
